Chapter,Question Number,Question,Correct Answer Text,evidence 1,evidence 2,evidence 3,Fun Memory Aid
"Chapter 2","1","WHEN YOU SEE THIS SIGN, YOU MUST:","Stop completely, check for pedestrians, and cross traffic","A STOP sign always means come to a full stop at the stop line, crosswalk, or intersection (pub-95.pdf, p. 10).","You must yield to pedestrians and cross traffic before proceeding (pub-95.pdf, p. 10).","Failing to stop completely at a STOP sign is a traffic violation in Pennsylvania (pub-95.pdf, p. 10).","Why did the car stop at the stop sign? Because it didn’t want to get towed away!"
"Chapter 2","2","THIS IS THE SHAPE AND COLOR OF A __________ SIGN.","Yield","A yield sign is a downward-pointing triangle with a red border and white interior (pub-95.pdf, p. 11).","The manual states this sign means you must slow down and yield the right-of-way (pub-95.pdf, p. 11).","Yield signs always require giving way to other vehicles and pedestrians (pub-95.pdf, p. 11).","Triangles are always polite—they point the way and say, 'After you!'"
"Chapter 2","3","THIS SIGN MEANS:","Do not enter","A red circle with a white horizontal line is the 'Do Not Enter' sign (pub-95.pdf, p. 12).","This sign is used at roadway openings you may not enter (pub-95.pdf, p. 12).","Entering where this sign is posted is illegal and dangerous (pub-95.pdf, p. 12).","Red circle, white bar—like a 'no entry' lollipop for cars!"
"Chapter 2","4","THIS SIGN MEANS:","No U-Turn","The 'No U-Turn' sign is a U-shaped arrow with a red circle and slash (pub-95.pdf, p. 12).","The manual lists this as the official 'No U-Turn' sign (pub-95.pdf, p. 12).","Making a U-turn at this sign is prohibited and is a traffic violation (pub-95.pdf, p. 12).","No U-turn? Guess you’re not allowed to change your mind!"
"Chapter 2","5","THIS SIGN MEANS:","No right turn","A right-pointing arrow with a red circle and slash means 'No Right Turn' (pub-95.pdf, p. 12).","This is the standardized symbol for prohibiting right turns (pub-95.pdf, p. 12).","Turning right at this sign is illegal and can be dangerous (pub-95.pdf, p. 12).","No right turn? Looks like you’ll have to take three lefts to get there!"
"Chapter 2","6","THIS SIGN MEANS:","The road that you are on intersects with a divided highway","A divided highway sign shows two arrows pointing in opposite directions separated by a median (pub-95.pdf, p. 15).","The manual explains this sign warns that the road ahead intersects with a divided highway (pub-95.pdf, p. 15).","Drivers must be prepared for changes in traffic flow at such intersections (pub-95.pdf, p. 15).","It’s like a traffic family reunion—two sides meeting in the middle!"
"Chapter 2","7","YOU NEED TO USE EXTRA CAUTION WHEN DRIVING NEAR A PEDESTRIAN USING A WHITE CANE BECAUSE:","They are blind","A white cane is a symbol that the pedestrian is blind (pub-95.pdf, p. 55).","Blind pedestrians may not be able to see vehicles approaching (pub-95.pdf, p. 55).","Drivers are legally required to yield to blind pedestrians (pub-95.pdf, p. 55).","If you see a white cane, don’t play guessing games—just stop!"
"Chapter 2","8","WHEN DRIVING NEAR A BLIND PEDESTRIAN WHO IS CARRYING A WHITE CANE OR USING A GUIDE DOG, YOU SHOULD:","Slow down and be prepared to stop","The manual states you must yield the right-of-way to blind pedestrians (pub-95.pdf, p. 55).","Slowing down allows you to stop safely if the pedestrian enters your path (pub-95.pdf, p. 55).","Failing to yield to a blind pedestrian is a traffic violation (pub-95.pdf, p. 55).","Guide dogs and canes are VIPs—Very Important Pedestrians!"
"Chapter 2","9","IF THERE ARE NO SIGNALS AT A RAILROAD CROSSING, YOU SHOULD:","Slow down and prepare to stop if you see or hear a train approaching","The manual instructs drivers to slow down and be prepared to stop at railroad crossings (pub-95.pdf, p. 9).","Trains cannot stop quickly, so drivers must yield at crossings (pub-95.pdf, p. 9).","Ignoring this rule can result in a collision with a train (pub-95.pdf, p. 9).","Trains always win in a game of 'chicken.'"
"Chapter 2","10","YOU MAY DRIVE AROUND THE GATES AT A RAILROAD CROSSING:","Never","It is illegal to drive around lowered gates at a railroad crossing (pub-95.pdf, p. 9).","Gates are lowered only when a train is approaching (pub-95.pdf, p. 9).","Driving around the gates can result in a fatal crash and is a serious offense (pub-95.pdf, p. 9).","If the gate is down, your car should be too—down in park!"
"Chapter 2","11","IF YOU SEE THIS SIGN ABOVE YOUR LANE, YOU:","Must exit the freeway if you stay in this lane","A downward arrow over a lane with the word 'EXIT' means you must exit if you stay in that lane (pub-95.pdf, p. 18).","Lane use control signals direct drivers to required actions (pub-95.pdf, p. 8).","Failure to follow lane control signs can result in improper lane use or missing your exit (pub-95.pdf, p. 18).","If the sign says EXIT, don’t be shy—wave goodbye!"
"Chapter 2","12","HIGHWAY AND EXPRESSWAY GUIDE SIGNS ARE:","Green with white letters","Guide signs are green with white letters and provide directional and mileage information (pub-95.pdf, p. 19).","The manual shows examples of green guide signs for highways (pub-95.pdf, p. 19).","Green guide signs help drivers navigate to destinations (pub-95.pdf, p. 19).","Green means 'go'... to your destination!"
